lat;lon;elemnt;id;official_name;ref:CIS_JR
49.1529643;15.0126836;node;5171752313;Jindřichův Hradec,,Jarošovská;
49.1315442;15.0142555;node;9174048193;Jindřichův Hradec,,Jiráskovo předměstí;
49.1311375;15.0136980;node;9174048191;Jindřichův Hradec,,Jiráskovo předměstí;
49.1475295;15.0364013;node;3248441983;Jindřichův Hradec,,Jitka Bobelovka;
49.1425208;14.9939092;node;9174048184;Jindřichův Hradec,,Na Palici;
49.1427485;14.9937413;node;9174048182;Jindřichův Hradec,,Na Palici;
49.1461037;15.0032185;node;1448497449;Jindřichův Hradec,,nám.Masarykovo;
49.1460577;15.0040681;node;1448497447;Jindřichův Hradec,,nám.Masarykovo;
49.1396800;15.0067432;node;6029940485;Jindřichův Hradec,,nemocnice hlavní brána;
49.1395212;15.0068050;node;9174048344;Jindřichův Hradec,,nemocnice hlavní brána;
49.1384628;15.0043825;node;9174048197;Jindřichův Hradec,,nemocnice LDN;
49.1388872;15.0027080;node;5184450362;Jindřichův Hradec,,nemocnice LDN;
49.1334180;15.0106310;node;9174048346;Jindřichův Hradec,,obchodní zóna;
49.1330830;15.0096136;node;9174048347;Jindřichův Hradec,,obchodní zóna;
49.1481956;15.0017341;node;9174048222;Jindřichův Hradec,,Oděva;
49.1403239;15.0021023;node;9174048196;Jindřichův Hradec,,poliklinika;
49.1396544;15.0023235;node;9174048195;Jindřichův Hradec,,poliklinika;
49.1514845;14.9963182;node;9174048200;Jindřichův Hradec,,Pražská;
49.1511613;14.9965680;node;9174048201;Jindřichův Hradec,,Pražská;
49.1503347;15.0078996;node;5168668457;Jindřichův Hradec,,sídl. U nádraží;
49.1506819;15.0089336;node;5168666913;Jindřichův Hradec,,sídl. U nádraží;
49.0430465;15.3422907;node;1334908925;Český Rudolec,Nová Ves;
49.0430505;15.3424238;node;10303892123;Český Rudolec,Nová Ves;
49.0891115;15.3178885;node;10303892122;Český Rudolec,Markvarec;
49.3515892;13.8579105;node;9176128964;Doubravice,,MŠ;
49.3517179;13.8582344;node;10736739678;Doubravice,,MŠ;
49.3660533;13.8414659;node;6691260067;Bratronice;2545
49.4086082;14.6773000;node;9406108830;Tábor,,Maredův vrch;
49.4083880;14.6771708;node;4476582196;Tábor,,Maredův vrch;
49.4020068;14.6807367;node;4476582198;Tábor,,Maredova;
49.4035795;14.6824123;node;3622026429;Tábor,,Nad Řekou;
49.4236491;14.6458513;node;299412118;Tábor,,Petrohradská;
49.4228638;14.6456950;node;299412031;Tábor,,Petrohradská;
