lat;lon;ref;okres;name;stanoviste;typ
49.2010375637103;15.0505575146848;744920;JH;Lovìtín;;vlak
49.1939342850428;15.0334602831745;744821;JH;Dolní Radouò;;vlak
49.17182325362;15.0329602688381;744722;JH;Horní Skrýchov;;vlak
49.2368492897112;15.0666659073132;745224;JH;Nová Vèelnice;;vlak
49.1488427471805;15.0525061796284;743724;JH;Jindøi¹;;vlak
49.1458262402798;15.0615821425307;743732;JH;Jindøi¹ zastávka;;vlak
49.1398233988116;15.091351031524;743823;JH;Bla¾ejov;;vlak
49.1434961772757;15.1144205707319;743922;JH;Malý Ratmírov;;vlak
49.1341927096746;15.1348770849797;744029;JH;Støí¾ovice;;vlak
49.1120385085457;15.1627867588725;744128;JH;Kun¾ak-Lomy;;vlak
49.0823129280676;15.1709299178907;744227;JH;Kaproun;;vlak
49.0660625037495;15.1577741739013;744326;JH;Senotín;;vlak
49.0454019277597;15.158287386889;744425;JH;Hùrky;;vlak
49.0298503152502;15.1378332025984;744524;JH;Albeø;;vlak
49.0191677100378;15.1110367348032;744623;JH;Nová Bystøice;;vlak
49.1681570747201;15.0527540964783;757120;JH;Rodvínov;;vlak
49.1817598667783;15.0789793440777;757229;JH;Jaro¹ov nad Ne¾árkou;;vlak
49.1944803937763;15.091946360658;757328;JH;Bednárec;;vlak
49.2091705955592;15.1503195778385;757427;JH;Bednáreèek;;vlak
49.2203016433684;15.1785004426815;757526;JH;Popelín;;vlak
49.1553958080924;15.0053524968421;743625;JH;Jindøichùv Hradec;;vlak
49.1548901387143;15.00558317308;743625;JH;Jindøichùv Hradec;;vlak
49.207204095614;14.7326429116105;735639;TA;Øípec;;vlak
49.2082456455564;14.7997746894031;756726;JH;Doòov;;vlak
49.1835375283667;14.8605007826734;756825;JH;Karda¹ova Øeèice;;vlak
49.169270474114;14.8831998416244;756924;JH;Mnich;;vlak
49.1644304198089;14.9512103634065;757021;JH;Dìbolín;;vlak
49.1937208234978;14.7168983486094;735522;TA;Veselí nad Lu¾nicí;;vlak
49.1053374500093;14.232601958991;740720;PT;Libìjovice;;vlak
49.0919595491916;14.2182910472043;740829;PT;Malovice u Netolic;;vlak
49.0787515812363;14.2102512452045;740928;PT;Holeèkov;;vlak
49.0650156480972;14.2160736816417;746420;PT;Netolice zastávka;;vlak
49.0541099775604;14.1899557114879;741025;PT;Netolice;;vlak
49.1249812238881;14.2648008661447;733428;CB;Záblatíèko;;vlak
49.1061792237866;14.3012608988021;733329;CB;Dívèice;;vlak
49.0895538081911;14.326968506357;733220;CB;Zbudov;;vlak
49.0655180260885;14.3616901169846;733121;CB;Zliv;;vlak
49.0324629317273;14.4202235673468;733022;CB;Hluboká nad Vltavou;;vlak
48.9946465369529;14.4793898302202;734525;CB;Èeské Budìjovice severní zastávka;;vlak
49.3021232221904;14.1518547163071;74662;PI;Písek jih;;vlak
49.2231525205128;14.4082629778655;740522;CB;Týn nad Vltavou;;vlak
49.213389572303;14.3921130607665;740423;CB;Bohunice;;vlak
49.1956457153542;14.3464929050714;740324;CB;Temelín;;vlak
49.1834411359746;14.3110154640611;740225;CB;Lhota pod Horami;;vlak
49.1645117806044;14.2928266065611;740126;CB;Chvale¹ovice;;vlak
49.1605025820814;14.2740156156264;739920;ST;Záboøí u Èíèenic;;vlak
49.1506807053226;14.2433866994338;740027;ST;Újezdec u Èíèenic;;vlak
49.019666759973;14.4822919901112;734624;CB;Hrdìjovice;;vlak
49.0349716360106;14.4664405294236;734723;CB;Hosín;;vlak
49.0506981740208;14.4642032745104;734822;CB;Hluboká nad Vltavou-Zámostí;;vlak
49.0785819628774;14.5292402020842;734921;CB;Chotýèany;;vlak
49.0973278049654;14.5744093914144;735027;CB;©evìtín;;vlak
49.1247922689004;14.6044506312909;735126;CB;Neplachov;;vlak
49.146341027254;14.6286994963654;735225;CB;Dynín;;vlak
49.1674988449419;14.6669992287168;735324;TA;Horusice;;vlak
49.1771666433643;14.6961950600675;735423;TA;Veselí nad Lu¾nicí zastávka;;vlak
49.2242878102742;14.724129389594;735621;TA;Øípec-Dráchov;;vlak
