lat;lon;ref;okres;name;stanoviste;typ
49.0027050569411;14.4826401254553;63512;CB;Èeské Budìjovice,,Nemanická;;bus
49.0025583984164;14.4828431148421;63512;CB;Èeské Budìjovice,,Nemanická;;bus
48.9667725561841;14.5088105189828;56567;CB;Èeské Budìjovice,,Pohùrecká U ¹koly;;bus
48.9668183281421;14.5083415223545;56567;CB;Èeské Budìjovice,,Pohùrecká U ¹koly;;bus
48.9972521475152;14.5077456975447;54669;CB;Èeské Budìjovice,,Slévárenská;;bus
48.9970825041649;14.5076962001657;54669;CB;Èeské Budìjovice,,Slévárenská;;bus
48.9707971193198;14.502857720978;4873;CB;Èeské Budìjovice,,Suché Vrbné;;bus
48.9728532822109;14.4439445829959;64936;CB;Èeské Budìjovice,,©vábùv Hrádek;;bus
48.9718243204714;14.4833668107966;64302;CB;Èeské Budìjovice,,U Koníèka;;bus
48.9723738538355;14.4830320105338;64302;CB;Èeské Budìjovice,,U Koníèka;;bus
48.9723153425745;14.4832356580483;64302;CB;Èeské Budìjovice,,U Koníèka;;bus
48.9555936690751;14.4982447531896;63498;CB;Èeské Budìjovice,Nové Hodìjovice,Za høbitovem;;bus
49.1533558734807;14.222051228324;58543;ST;Èíèenice,,¾el.st.;;bus
49.4695470676801;14.0694364926673;58569;PI;Èimelice,,za Pramenem;;bus
49.0837830891083;15.4254151046196;56718;JH;Daèice,,A.Dvoøáka;;bus
49.0859025489256;15.4270953613415;56717;JH;Daèice,,Èervený Vrch;;bus
49.0858387680645;15.4271512007371;56717;JH;Daèice,,Èervený Vrch;;bus
49.2594039383519;14.5220082275841;59521;TA;Bøeznice,Jamník,rozc.;;bus
49.2920811328669;14.8431650201985;54604;TA;Budislav,,rozc.Zálu¾í.1.5;;bus
49.2792057997674;14.9537845571799;30039;JH;Rosièka;;bus
49.4282722360459;14.4140550094312;31452;PI;Sepekov,,rozc.;;bus
49.4283308084601;14.413883583495;31452;PI;Sepekov,,rozc.;;bus
49.2671678926443;13.8838144965876;51367;ST;Strakonice,,Jezárky;;bus
49.267045894636;13.8836402692546;51367;ST;Strakonice,,Jezárky;;bus
49.2667546631717;13.9010437753665;33248;ST;Strakonice,,Jiøího z Podìbrad;;bus
49.266687136405;13.9011303320211;33248;ST;Strakonice,,Jiøího z Podìbrad;;bus
49.2692814739729;13.873884457487;62957;ST;Strakonice,,K Dra¾ejovu;;bus
49.2687965561839;13.8773990731561;62957;ST;Strakonice,,K Dra¾ejovu;;bus
49.2643396070377;13.907595347024;33249;ST;Strakonice,,Lidická;;bus
49.264645575361;13.9078693514213;33249;ST;Strakonice,,Lidická;;bus
49.2660439170697;13.894250673068;33250;ST;Strakonice,,Máchova ul.;;bus
49.2660966144793;13.8935482753666;33250;ST;Strakonice,,Máchova ul.;;bus
