lat;lon;ref:CIS_JR;official_name;local_ref
49.4042081012561;13.8858593799621;19933;Mačkov;
49.4040382126743;13.8860820471349;19933;Mačkov;
49.0181132088086;14.7400749219945;36759;Třeboň,Břilice,zast.ČSAD;
49.0180430059898;14.7401365847109;36759;Třeboň,Břilice,zast.ČSAD;
49.2258131251853;14.4151248321016;58608;Týn n.Vlt.,,Dewetterova ul.;
48.9208708929933;14.4528819138824;49672;Včelná,,Jiráskova;
49.0608198690355;13.7785857661629;63413;Vimperk,,nad školou;
49.034385723512;13.758597693913;39515;Vimperk,Klášterec;
49.0344835418389;13.7587294776559;39515;Vimperk,Klášterec;
49.0206250511636;13.7351967619479;39519;Vimperk,Lipka;
49.020620136559;13.7353250915578;39519;Vimperk,Lipka;
49.1453289922039;14.1800894225195;63590;Vodňany,,žel.st.;
48.9098829997145;13.8841615205049;57505;Volary,,škola;
