@lat,@lon,official_name,name,ref:CIS_JR,ref,bus,public_transport,@count,@id,local_ref
49.4178588,14.6756326,,"""Tábor, Blanické předm.""",51326,,yes,platform,,277059283,
49.4197933,14.6776786,,"""Tábor, Čekanice, V Dolinách""",54699,,yes,platform,,277059284,
49.4202330,14.6778864,,"""Tábor, Čekanice, V Dolinách""",54699,,yes,platform,,277059285,
49.4319240,14.6742207,,"""Tábor, Čekanice, žel. přejezd""",51329,,yes,platform,,277059291,
49.4335842,14.6745246,,Čekanice žel. přejezd,,,yes,platform,,277059292,
49.4254833,14.6813727,,"""Tábor, Čekanice, dům peč. služby""",53699,,yes,platform,,277060678,
49.4283464,14.6860172,,"""Tábor, Čekanice, u cihelny""",35317,,yes,platform,,277060681,
49.4312443,14.6885126,,"""Tábor, Čekanice, silo""",35316,,yes,platform,,277060685,
49.4310937,14.6881266,,"""Tábor, Čekanice, silo""",35316,,yes,platform,,277060687,
49.4093984,14.6861823,,"""Tábor, TAPA""",35338,,yes,platform,,277065647,
49.4100025,14.6848150,,"""Tábor, TAPA""",35338,,yes,platform,,277065648,
49.4080528,14.6906492,,"""Tábor, Chýnovská""",47599,,yes,platform,,277065650,
49.4078906,14.6906075,,"""Tábor, Chýnovská""",47599,,yes,platform,,277065651,
49.3896143,14.6888106,Sídl. Nad Lužnicí,"""Tábor, sídl. Nad Lužnicí""",51344,,yes,platform,,277065652,
49.3889135,14.6884289,Sídl. Nad Lužnicí,"""Tábor, sídl. Nad Lužnicí""",51344,,yes,platform,,277065653,
49.3854929,14.6843674,"""Sezimovo Ústí, I nám.""","""Sezimovo Ústí, I náměstí""",51356,,yes,platform,,277065654,
49.3855669,14.6845899,"""Sezimovo Ústí, I nám.""","""Sezimovo Ústí, I náměstí""",51356,,yes,platform,,277065655,
49.3903589,14.6841644,"""Sídl. Nad Lužnicí, střed""","""Tábor, sídliště Nad Lužnicí střed""",51447,,yes,platform,,277065656,
49.3907992,14.6841061,"""Sídl. Nad Lužnicí, střed""","""Tábor, sídliště Nad Lužnicí střed""",51447,,yes,platform,,277065657,
49.3812514,14.6877152,"""Sezimovo Ústí, I rozc.""","""Sezimovo Ústí, I rozcestí""",51357,,yes,platform,,277065658,
49.3811780,14.6878728,"""Sezimovo Ústí, I rozc.""","""Sezimovo Ústí, I rozcestí""",51357,,yes,platform,,277065659,
49.3886592,14.6912640,"""Tábor, sídl. Nad Lužnicí E 55""","""Tábor, sídliště Nad Lužnicí, E55""",35336,,yes,platform,,277065660,
49.3881948,14.6910649,"""Tábor, sídl. Nad Lužnicí E 55""","""Tábor, sídliště Nad Lužnicí, E55""",35336,,yes,platform,,277065661,
49.0152354,14.7602761,,,,,yes,platform,,277324439,
49.0350514,14.6945350,,,,,,,,277324751,
48.9500365,14.8876675,,,,,yes,platform,,277397015,
49.5642331,14.8639186,,Vilice,,,yes,platform,,277461325,
49.5555990,14.8459470,"""Běleč, Bzová, rozc.""","""Běleč, Bzová, rozcestí""",,,yes,platform,,277461326,B
49.5434063,14.8361932,,Běleč,,,yes,platform,,277461327,B
49.4954826,14.8977245,,Pojbuky,,,,,,277467202,
49.5772780,14.8302140,,"""Šebířov, Skrýšov""",,,yes,platform,,281562908,1
49.5878500,14.7403100,,"""Slapsko, Zahrádka""",,,yes,platform,,281846166,2
49.0669227,13.6298477,,,,,yes,platform,,282382165,
49.0690069,13.6199242,,,,,yes,platform,,282382215,
49.0544820,13.6333464,,"""Nové Hutě, Pláně""",,,yes,platform,,282382943,
49.0386920,13.6458860,,Nové Hutě,,,,,,282383514,
49.0342926,13.6471119,,"""Nové Hutě, chata""",,,,,,282383528,
48.9630880,14.9523652,,,,,yes,platform,,286956024,
49.0678118,13.6250954,,"""Stachy, Zadov Churáňov hotel""",,,yes,platform,,287040568,
49.0394056,13.5784461,,"""Kvilda, park. u Jezerní slatě""",,,yes,stop_position,,287072459,
49.0366649,13.5785663,,"""Kvilda, Horská Kvilda rozc.3.0""",,,yes,platform,,287073880,
49.3125740,14.1430873,,"""Písek, Dvořákova""",,,yes,stop_position,,287647668,
49.0208976,15.0761659,,,,,yes,platform,,299078200,
49.0417658,15.0536011,,,,,yes,platform,,299078300,
49.0478218,15.0381359,,,,,,,,299078380,
49.4204775,14.6516056,"""Tábor, nem.""","""Tábor, nemocnice""",35331,,yes,platform,,299410418,
49.4238553,14.6506883,,"""Tábor, Zimní stadion""",54920,,yes,platform,,299411821,
49.4228638,14.6456950,,"""Tábor, Petrohradská""",54921,,yes,platform,,299412031,
49.4236491,14.6458513,,"""Tábor, Petrohradská""",54921,,yes,platform,,299412118,
49.4234866,14.6506096,,"""Tábor, Zimní stadion""",54920,,yes,platform,,299412326,
49.4201870,14.6449003,,"""Tábor, Klokoty""",35323,,yes,platform,,299412636,
49.4507444,14.4439627,,Božetice,,,,,,300803976,
49.4877804,14.4623736,,"""Nadějkov, Modlíkov""",,,,,,300807175,
49.4912290,14.4759006,"""Nadějkov, Hronova Vesec, rozc. 1.0""","""Hronova Vesec, rozcestí 1.0""",22453,,yes,platform,,300807232,
49.4957540,14.4857030,,"""Nadějkov, Petříkovice""",,,yes,platform,,300807318,A
49.4756097,14.4445484,,"""Vlksice, rozc.Přeštěnice 2.3""",,,,,,300817681,
49.4899883,14.4298644,,"""Vlksice, Dobřemilice""",,,,,,300830353,
49.4996714,14.4308078,,"""Vlksice, Střítež""",,,,,,300830493,
49.2522110,14.8929530,,"""Jižná, rozc.""",,,yes,stop_position,,301770128,
48.8163215,13.8784052,,"""Nová Pec, Jelení Vrchy""",,,yes,stop_position,,302704052,
49.4514682,14.8687175,"""Dolní Hořice, Hartvíkov""",Hartvíkov,6519,,yes,platform,,302803296,
49.3301324,14.1189982,,"""Písek, Čížovská""",,,yes,stop_position,,308591680,
49.3045950,14.1559930,,"""Písek, Budějovická""",,,yes,stop_position,,310132750,
49.3110177,14.1624427,,"""Písek, Logry""",,,yes,stop_position,,311042374,
49.3039087,14.1380474,,"""Písek, Hradištská""",,,yes,stop_position,,311042474,
49.2976593,14.1220997,,"""Písek, Hradiště""",,,yes,stop_position,,311522503,
49.2966496,14.1433945,,"""Písek, Nádraží ČD""",,,yes,stop_position,,316506532,
48.7880251,14.8906411,,,,,,,,319440836,
49.4138662,14.6616857,,"""Tábor, U Střelnice""",57645,,yes,platform,,322846866,
48.6924119,14.4007041,,,,,yes,platform,,332447773,
48.7578127,14.3385450,,,,,yes,platform,,332570963,
48.8324033,14.3452616,,Přísečná,,,yes,platform,,363413437,
48.8323428,14.3454391,,Přísečná,,,yes,platform,,363413446,
