lat;lon;official_name;name;ref:CIS_JR;ref;bus;public_transport;count;id;local_ref
49.4803069;14.5482817;"""Jistebnice, Tisová rozc. 1.0""";"""Jistebnice, Tisová rozcestí 1.0""";;;yes;platform;;4445533021;B;10;10
49.4703560;14.5470710;;"""Jistebnice, Hůrka""";;;yes;platform;;4453492440;A;10;10
49.4702910;14.5474340;;"""Jistebnice, Hůrka""";;;yes;platform;;10690708094;B;10;10
49.4833070;14.5321730;;"""Jistebnice, Žofín""";;;yes;platform;;4453492453;B;10;10;10;10
49.4831890;14.5322700;;"""Jistebnice, Žofín""";;;yes;platform;;10690713510;A;10;10;10;10
49.5761400;14.7626300;;Slapsko;;;yes;platform;;537991349;1;10;10;10;10
49.5762100;14.7627000;;Slapsko;;;yes;platform;;7990812398;2;10;10;10;10
49.5837400;14.7496400;;"""Slapsko, Leština, rozc. 0.5""";;;yes;platform;;73317635;2;10;10;10;10
49.5836700;14.7496300;;"""Slapsko, Leština, rozc. 0.5""";;;yes;platform;;7990812392;1;10;10;10;10
49.5878500;14.7403100;;"""Slapsko, Zahrádka""";;;yes;platform;;281846166;2;10;10;10;10
49.5878000;14.7402400;;"""Slapsko, Zahrádka""";;;yes;platform;;7990812393;1;10;10;10;10
49.4666060;14.5649800;;"""Jistebnice, Vlásenice""";;;yes;platform;;4445533019;B;10;10;10;10
49.4664880;14.5650150;;"""Jistebnice, Vlásenice""";;;yes;platform;;10690713505;A;10;10;10;10
49.4552230;14.5885100;"""Balkova Lhota, Knížata rozc. 1.0""";"""Balkova Lhota, Knížata rozcestí 1.0""";;;yes;platform;;4445533007;A;10;10;10;10
49.4553070;14.5885770;"""Balkova Lhota, Knížata rozc. 1.0""";"""Balkova Lhota, Knížata rozcestí 1.0""";;;yes;platform;;10690713513;B;10;10;10;10
49.4613861;14.5922341;;"""Radkov, Paseka""";29239;;yes;platform;;6980167328;A;10;10;10;10
49.4613652;14.5921765;;"""Radkov, Paseka""";29239;;yes;platform;;8856260142;B;10;10;10;10
49.4645332;14.6101777;;Radkov;29238;;yes;platform;;3414617944;A;10;10;10;10
49.4643800;14.6102500;;Radkov;29238;;yes;platform;;8856260143;B;10;10;10;10
49.4516910;14.6064300;;Balkova Lhota;;;yes;platform;;4445533005;A;10;10;10;10
49.4515709;14.6065026;;Balkova Lhota;;;yes;platform;;10690713514;B;10;10;10;10
49.4456140;14.6031020;;"""Balkova Lhota, Výrec""";;;yes;platform;;10690713511;B;10;10;10
49.4307710;14.6203060;;"""Tábor, Všechov""";;;yes;platform;;10690708098;B;10;10
49.4303970;14.6208040;;"""Tábor, Všechov""";;;yes;platform;;4445533006;A;10;10
49.5186540;14.7989270;;"""Mladá Vožice, Agrospol a. s.""";;;yes;platform;;10690713551;1;10;10;10;10
49.5073850;14.7963330;;"""Mladá Vožice, Blanice""";;;yes;platform;;10690713537;1;10;10;10;10
49.5073010;14.7965560;;"""Mladá Vožice, Blanice""";;;yes;platform;;10690713553;2;10;10;10;10
49.4922940;14.7947820;;"""Dolní Hrachovice, Vaněčkův mlýn""";;;yes;platform;;10690713534;1;10;10;10;10
49.4922710;14.7949300;;"""Dolní Hrachovice, Vaněčkův mlýn""";;;yes;platform;;10690713546;2;10;10;10;10
