"(Velemín) (NAD)"
"Karlovy Vary"
"Karlovy Vary dolní nádraží"
"Karlovy Vary-Aréna ?"
"Karlovy Vary-Březová"
"Karlovy Vary-Dvory"
"Karlštejn"
"Karolinka"
"Karolinka zastávka"
"Karviná hl. n."
"Kařez"
"Kařízek"
"Kasejovice"
"Kaštice"
"Katovice"
"Katowice"
"Katusice"
"Kaznějov"
"Kdyně"
"Kfely"
"Klabava"
"Kladno"
"Kladno město"
"Kladno-Dubí"
"Kladno-Ostrovec"
"Kladno-Rozdělov"
"Kladno-Švermov"
"Kladno-Vrapice"
"Klášterec nad Ohří"
"Klášterská Lhota"
"Klatovy"
"Klatovy město"
"Klenčí pod Čerchovem"
"Kleneč"
"Klínec"
"Klingenthal"
"Klobuky v Čechách"
"Klokočov"
"Klučov"
"Kmetiněves"
"Kněževes"
"Kněžmost"
"Kněžnice"
"Knínice u Boskovic"
"Koberno"
"Kobylá nad Vidnavkou"
"Kobylí na Moravě"
"Kojatín"
"Kojetice na Moravě"
"Kojetice u Prahy"
"Kojetín"
"Kojice"
"Kojovice"
"Kokašice"
"Koleč"
"Kolešovice"
"Kolín"
"Kolín dílny"
"Kolín místní nádraží"
"Kolín zastávka"
"Kolinec"
"Kolín-Zálabí"
"Kolomuty"
"Komňátka"
"Konětopy"
"Konice"
"Konstantinovy Lázně"
"Kopidlno"
"Kopřivnice"
"Kopřivnice zastávka"
"Kornatice"
"Kornatice rybník"
"Kořenice"
"Kořenov"
"Kořenov zastávka"
"Kosobody"
"Kosova Hora"
"Kostelany nad Moravou"
"Kostelec na Hané"
"Kostelec nad Labem"
"Kostelec nad Orlicí"
"Kostelec nad Orlicí město"
"Kostelec u Jihlavy"
"Kostelec u Jihlavy masna"
"Kostěnice"
"Kostomlaty nad Labem"
"Kostomlaty pod Řípem"
"Košátky"
"Košťálov"
"Koštice nad Ohří"
"Koštov"
"Kotojedy"
"Kotouň"
"Kotvina"
"Kounov"
"Kouřim"
"Kout na Šumavě"
"Kouty nad Desnou"
"Kovač"
"Kováry"
"Kovářská"
"Kovářská městys"
"Kovčín"
"Kozmice"
"Kozolupy"
"Kožlany"
"Kožušany"
"Krahulov"
"Kraków Główny"
"Kralice nad Oslavou"
"Kraličky"
"Králíky"
"Králíky zastávka"
"Královec"
"Kralovice u Rakovníka"
"Královice u Zlonic"
"Královské Poříčí"
"Kralupy nad Vltavou"
"Kralupy nad Vltavou předměstí"
"Kralupy nad Vltavou-Minice"
"Králův Dvůr"
"Králův Dvůr-Popovice"
"Krasíkov"
"Kraslice"
"Kraslice předměstí"
"Kraslice-Pod vlekem"
"Krásná Lípa"
"Krásná Lípa město"
"Krásná Studánka"
"Krásné Loučky"
"Krásný Dvůr"
"Krásný Jez"
"Krásný Jez zastávka"
"Krásný Les"
"Krásný Les bažantnice"
"Krasoňovice"
"Kratonohy"
"Kravaře v Čechách"
"Kravaře ve Slezsku"
"Kravaře-Kouty"
"Krhanice"
"Krhová"
"Krippen Hp"
"Krnov"
"Krnov-Cvilín"
"Krnsko"
"Kroměříž"
"Kroměříž-Oskol"
"Kropáčova Vrutice"
"Krouna"
"Krouna zastávka"
"Krty"
"Krupá"
"Krupka"
"Krupka město"
"Krupka-Bohosudov"
"Kryry"
"Kryštofovo Údolí"
"Křeč"
"Křemenec"
"Křemže"
"Křenov"
"Křenovice dolní n."
"Křenovice horní n."
"Křenovy"
"Křesín"
"Křešice u Děčína"
"Křešice u Litoměřic"
"Křimov"
"Křimov zastávka"
"Křimov-Suchdol"
"Křinec"
"Křivoklát"
"Křižanov"
"Křižanovice"
"Křižany"
"Ktová"
"Kubova Huť"
"Kuks"
"Kunčice nad Labem"
"Kunčice pod Ondřejníkem"
"Kunčina"
"Kunov"
"Kunovice"
"Kunovice zastávka"
"Kunovice-Loučka"
"Kunžak-Lomy"
"Kuřim"
"Kutná Hora hlavní nádraží"
"Kutná Hora město"
"Kutná Hora předměstí"
"Kutná Hora-Sedlec"
"Kúty"
"Květná"
"Květná zastávka"
"Kyje u Jičína"
"Kyjov"
"Kyjov zastávka"
"Kylešovice"
"Kynšperk nad Ohří"
"Kytlice"
"Ladná"
"Lanškroun"
"Lanšperk"
"Lanžhot"
"Lašovice"
"Laštovičky"
"Laziště"
"Lázně Bělohrad"
"Lázně Kynžvart"
"Lázně Toušeň"
"Lbín"
"Lčovice"
"Ledeč nad Sázavou"
"Ledečko"
"Ledečky"
"Lednice"
"Lednice rybníky"
"Lenešice"
"Lenora"
"Lenora zastávka"
"Leskovec"
"Leskovice"
"Leština u Světlé"
"Letohrad"
"Letovice"
"Letovice zastávka"
"Levínská Olešnice"
"Ležky"
"Lhota pod Horami"
"Lhota pod Libčany"
"Lhota pod Přeloučí"
"Lhota u Opavy"
"Lhota u Trutnova"
"Lhota Veselka"
"Lhotice u Jemnice"
"Lhotka nad Bečvou"
"Lhotka u Mělníka"
"Lhotka u Mělníka zastávka"
"Libčeves"
"Libčice nad Vltavou"
"Libčice nad Vltavou-Letky"
"Libeč"
"Liběchov"
"Libějice"
"Libějovice"
"Liberec"
"Liberec-Horní Růžodol"
"Liberec-Rochlice"
"Liběšice"
"Libice nad Cidlinou"
"Libina"
"Libkovice"
"Libochovany"
"Libochovice"
"Libochovice město"
"Libomyšl"
"Libošovice"
"Libouchec"
"Libštát"
"Libuň"
"Libuň zastávka"
"Lidečko"
"Lidečko ves"
"Lichkov"
"Linhartice"
"Linhartovy"
"Líny"
"Lípa"
"Lípa nad Dřevnicí"
"Lípa nad Orlicí"
"Lipka"
"Lipnice"
"Lipník nad Bečvou"
"Lipno nad Vltavou"
"Lipov"
"Lipová Lázně"
"Lipová Lázně jeskyně"
"Lipová Lázně zastávka"
"Lipová u Chebu"
"Lipová u Šluknova"
"Liptaň"
"Lískovec u Frýdku"
"Lišany u Žatce"
"Líšnice"
"Líšný"
"Liteň"
"Litice nad Orlicí"
"Lítkovice"
"Litochovice nad Labem"
"Litoměřice Cihelna"
"Litoměřice horní nádraží"
"Litoměřice město"
"Litomyšl"
"Litomyšl zastávka"
"Litomyšl-Nedošín"
"Litovel"
"Litovel město"
"Litovel předměstí"
"Litultovice"
"Litvínov"
"Litvínov město"
"Lnáře"
"Lobkovice"
"Lobodice"
"Loděnice"
"Lochenice"
"Lochovice"
"Loket"
"Loket předměstí"
"Lom u Mostu"
"Lom u Mostu zastávka"
"Lom u Stříbra"
"Lom u Tachova"
"Lomnice nad Lužnicí"
"Lomnice nad Popelkou"
"Lomnice u Rýmařova"
"Lomnička"
"Loucká"
"Loučim"
"Loučky"
"Loučná nad Desnou"
"Loučná nad Desnou-Filipová"
"Loučná nad Desnou-Rejhotice"
"Loučovice"
"Loučovice zastávka"
"Louka u Litvínova"
"Louka u Mariánských Lázní"
"Louka u Ostrohu"
"Loukov"
"Loukov u Mnichova Hradiště"
"Louky nad Olší"
"Louny"
"Louny město"
"Louny střed"
"Lovčice obec"
"Lovětín"
"Lovětín obec"
"Lovosice"
"Lovosice město"
"Lovosice zastávka (Lovosice, ÚNZ) (NAD)"
"Lovosice závod"
"Lštění"
"Lubawka"
"Lubenec"
"Lubenec zastávka"
"Lubná"
"Luby u Chebu"
"Luby u Klatov"
"Lučany nad Nisou"
"Luh nad Svatavou"
"Luh pod Smrkem"
"Luhačovice"
"Luhov"
"Luka nad Jihlavou"
"Luka pod Medníkem"
"Lukavec"
"Lukavice na Moravě"
"Lukavice v Čechách"
"Luková"
"Luková u Rudoltic v Čechách"
"Luleč"
"Lupěné"
"Luštěnice"
"Lutotín"
"Lužany"
"Lužec nad Vltavou"
"Lužec pod Smrkem"
"Lužice"
"Lužná u Rakovníka"
"Lužná u Vsetína"
"Lužnice"
"Lvová"
"Lysá nad Labem"
"Lysá nad Labem-Dvorce"
"Mačkov"
"Machnín"
"Machnín hrad"
"Majdalena"
"Majdalena zastávka"
"Malá Bělá"
"Malá Hraštice"
"Malá Morávka"
"Malá Skála"
"Malá Veleň"
"Malé Březno nad Labem"
"Malé Hoštice"
"Malé Chvojno"
"Malé Svatoňovice"
"Malé Žernoseky"
"Malechovice"
"Malenice nad Volyňkou"
"Malešov"
"Málkov"
"Malměřice"
"Malonice"
"Malovice u Netolic"
"Malovidy"
"Malšice"
"Malý Beranov"
"Malý Pěčín"
"Malý Rapotín"
"Malý Ratmírov"
"Malý Újezd"
"Mankovice"
"Marefy"
"Mariánské Lázně"
"Mariánské Lázně město"
"Markvartice"
"Martiněves u Děčína"
"Martiněves u Libochovic"
"Martinice u Velkého Meziříčí"
"Martinice v Krkonoších"
"Mašovice"
"Meclov"
"Měděnec"
"Měděnec zastávka"
"Medlešice"
"Měchenice"
"Měcholupy"
"Mělnická Vrutice"
"Mělník"
"Mělník-Mlazice"
"Merklín"
"Měrovice nad Hanou"
"Městec Králové"
"Městečko Trnávka"
"Městečko u Benešova"
"Městečko u Křivoklátu"
"Město Albrechtice"
"Měšice u Prahy"
"Mešno"
"Mezihoří"
